층,건물,공간명,공간ID,Blender Object,촬영사진 넣는 폴더,내부 처리용 기존 폴더
3F,ANNEX,3F 별관 복도,3F_ANNEX_CORRIDOR_01,SPACE_3F_ANNEX_CORRIDOR_01,촬영사진_넣는곳/3층/복도/4-7 교실에서 개별학습실3까지 복도/,사진보관/원본/3층/복도/4-7 교실에서 개별학습실3까지 복도/
3F,MAIN,3F 본관 계단 A,3F_MAIN_STAIR_A,SPACE_3F_MAIN_STAIR_A,촬영사진_넣는곳/3층/계단/5-7 교실 옆 상담실 쪽 계단/,사진보관/원본/3층/계단/5-7 교실 옆 상담실 쪽 계단/
3F,MAIN,3F 본관 계단 B,3F_MAIN_STAIR_B,SPACE_3F_MAIN_STAIR_B,촬영사진_넣는곳/3층/계단/5-3 교실 앞 5학년 연수실 옆 계단/,사진보관/원본/3층/계단/5-3 교실 앞 5학년 연수실 옆 계단/
3F,ANNEX,3F 별관 계단 D,3F_ANNEX_STAIR_D,SPACE_3F_ANNEX_STAIR_D,촬영사진_넣는곳/3층/계단/4-7 교실 옆 연결복도 쪽 계단/,사진보관/원본/3층/계단/4-7 교실 옆 연결복도 쪽 계단/
3F,MAIN,3F 본관 화장실 A,3F_MAIN_TOILET_A,SPACE_3F_MAIN_TOILET_A,촬영사진_넣는곳/3층/기타_촬영전허가필요/5-7 교실 쪽 화장실/,사진보관/원본/3층/기타_촬영전허가필요/5-7 교실 쪽 화장실/
3F,MAIN,3F 본관 화장실 B,3F_MAIN_TOILET_B,SPACE_3F_MAIN_TOILET_B,촬영사진_넣는곳/3층/기타_촬영전허가필요/5-2 교실 쪽 화장실/,사진보관/원본/3층/기타_촬영전허가필요/5-2 교실 쪽 화장실/
3F,ANNEX,3F 별관 화장실,3F_ANNEX_TOILET_A,SPACE_3F_ANNEX_TOILET_A,촬영사진_넣는곳/3층/기타_촬영전허가필요/4-7 교실 쪽 화장실/,사진보관/원본/3층/기타_촬영전허가필요/4-7 교실 쪽 화장실/
4F,MAIN,4F 본관 복도 01,4F_MAIN_CORRIDOR_01,SPACE_4F_MAIN_CORRIDOR_01,촬영사진_넣는곳/4층/복도/6-7 교실에서 6-3 교실까지 복도/,사진보관/원본/4층/복도/6-7 교실에서 6-3 교실까지 복도/
4F,MAIN,4F 본관 복도 02,4F_MAIN_CORRIDOR_02,SPACE_4F_MAIN_CORRIDOR_02,촬영사진_넣는곳/4층/복도/6-2 교실에서 4-2 교실까지 복도/,사진보관/원본/4층/복도/6-2 교실에서 4-2 교실까지 복도/
4F,ANNEX,4F 별관 복도,4F_ANNEX_CORRIDOR_01,SPACE_4F_ANNEX_CORRIDOR_01,촬영사진_넣는곳/4층/복도/4-4 교실에서 컴퓨터실까지 복도/,사진보관/원본/4층/복도/4-4 교실에서 컴퓨터실까지 복도/
4F,MAIN,4F 본관 계단 A,4F_MAIN_STAIR_A,SPACE_4F_MAIN_STAIR_A,촬영사진_넣는곳/4층/계단/6-7 교실 옆 계단/,사진보관/원본/4층/계단/6-7 교실 옆 계단/
4F,MAIN,4F 본관 계단 B,4F_MAIN_STAIR_B,SPACE_4F_MAIN_STAIR_B,촬영사진_넣는곳/4층/계단/6-3 교실 앞 6학년 연수실 옆 계단/,사진보관/원본/4층/계단/6-3 교실 앞 6학년 연수실 옆 계단/
4F,ANNEX,4F 별관 계단 D,4F_ANNEX_STAIR_D,SPACE_4F_ANNEX_STAIR_D,촬영사진_넣는곳/4층/계단/4-4 교실 옆 연결복도 쪽 계단/,사진보관/원본/4층/계단/4-4 교실 옆 연결복도 쪽 계단/
4F,MAIN,4F 본관 화장실 A,4F_MAIN_TOILET_A,SPACE_4F_MAIN_TOILET_A,촬영사진_넣는곳/4층/기타_촬영전허가필요/6-7 교실 쪽 화장실/,사진보관/원본/4층/기타_촬영전허가필요/6-7 교실 쪽 화장실/
4F,MAIN,4F 본관 화장실 B,4F_MAIN_TOILET_B,SPACE_4F_MAIN_TOILET_B,촬영사진_넣는곳/4층/기타_촬영전허가필요/6-2 교실 쪽 화장실/,사진보관/원본/4층/기타_촬영전허가필요/6-2 교실 쪽 화장실/
4F,ANNEX,4F 별관 화장실,4F_ANNEX_TOILET_A,SPACE_4F_ANNEX_TOILET_A,촬영사진_넣는곳/4층/기타_촬영전허가필요/4-4 교실 쪽 화장실/,사진보관/원본/4층/기타_촬영전허가필요/4-4 교실 쪽 화장실/
2F,CONNECTOR,2F 연결복도,2F_CONNECTOR,SPACE_2F_CONNECTOR,촬영사진_넣는곳/2층/복도/과학실에서 개별학습실2까지 연결복도/,사진보관/원본/2층/복도/과학실에서 개별학습실2까지 연결복도/
