층,건물,공간명,공간ID,Blender Object,촬영사진 넣는 폴더,내부 처리용 기존 폴더
2F,MAIN,돌봄교실(꿈사랑),2F_CARE_DREAM_LOVE,SPACE_2F_CARE_DREAM_LOVE,촬영사진_넣는곳/2층/특별실_지원실/본관__돌봄교실(꿈사랑)/,photos/raw/2F/special_rooms/care_dream_love/
2F,MAIN,교장실,2F_PRINCIPAL,SPACE_2F_PRINCIPAL,촬영사진_넣는곳/2층/특별실_지원실/본관__교장실/,photos/raw/2F/special_rooms/principal/
2F,MAIN,학교운영위원회 회의실,2F_OPERATIONS_MEETING,SPACE_2F_OPERATIONS_MEETING,촬영사진_넣는곳/2층/특별실_지원실/본관__학교운영위원회 회의실/,photos/raw/2F/special_rooms/operations_meeting/
2F,MAIN,교무실,2F_STAFF,SPACE_2F_STAFF,촬영사진_넣는곳/2층/특별실_지원실/본관__교무실/,photos/raw/2F/special_rooms/staff/
2F,MAIN,방송실(교원회의실),2F_BROADCAST,SPACE_2F_BROADCAST,촬영사진_넣는곳/2층/특별실_지원실/본관__방송실(교원회의실)/,photos/raw/2F/special_rooms/broadcast/
2F,EAST_WING,과학준비실,2F_SCIENCE_PREP,SPACE_2F_SCIENCE_PREP,촬영사진_넣는곳/2층/특별실_지원실/본관_동쪽__과학준비실/,photos/raw/2F/special_rooms/science_prep/
2F,EAST_WING,지능형과학실,2F_INTELLIGENT_SCIENCE,SPACE_2F_INTELLIGENT_SCIENCE,촬영사진_넣는곳/2층/특별실_지원실/본관_동쪽__지능형과학실/,photos/raw/2F/special_rooms/intelligent_science/
2F,EAST_WING,과학실,2F_SCIENCE,SPACE_2F_SCIENCE,촬영사진_넣는곳/2층/특별실_지원실/본관_동쪽__과학실/,photos/raw/2F/special_rooms/science/
4F,ANNEX,2학년 연수실,4F_GRADE2_RESEARCH,SPACE_4F_GRADE2_RESEARCH,촬영사진_넣는곳/4층/특별실_지원실/별관__2학년 연수실/,photos/raw/4F/special_rooms/grade2_research/
3F,MAIN,상담실,3F_COUNSELING,SPACE_3F_COUNSELING,촬영사진_넣는곳/3층/특별실_지원실/본관__상담실/,photos/raw/3F/special_rooms/counseling/
3F,MAIN,5학년 연수실,3F_GRADE5_RESEARCH,SPACE_3F_GRADE5_RESEARCH,촬영사진_넣는곳/3층/특별실_지원실/본관__5학년 연수실/,photos/raw/3F/special_rooms/grade5_research/
3F,EAST_WING,책터 도서관,3F_BOOK_LIBRARY,SPACE_3F_BOOK_LIBRARY,촬영사진_넣는곳/3층/특별실_지원실/본관_동쪽__책터 도서관/,photos/raw/3F/special_rooms/book_library/
4F,MAIN,6학년 연수실,4F_GRADE6_RESEARCH,SPACE_4F_GRADE6_RESEARCH,촬영사진_넣는곳/4층/특별실_지원실/본관__6학년 연수실/,photos/raw/4F/special_rooms/grade6_research/
4F,EAST_WING,4학년 연수실,4F_GRADE4_RESEARCH,SPACE_4F_GRADE4_RESEARCH,촬영사진_넣는곳/4층/특별실_지원실/본관_동쪽__4학년 연수실/,photos/raw/4F/special_rooms/grade4_research/
